Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP ProDesk 600 G4 Desktop Mini PC,BIOS,02.18.00,Rev 1,SP136957,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136957.exe
HP ProDesk 600 G4 Microtower PC,BIOS,02.17.00,Rev 1,SP136496,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136496.exe
HP ProDesk 600 G4 Microtower PC (with PCI slot),BIOS,02.17.00,Rev 1,SP136496,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136496.exe
HP ProDesk 600 G4 Small Form Factor PC,BIOS,02.18.00,Rev 1,SP136961,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136961.exe
HP ProDesk 600 G5 Desktop Mini PC,BIOS,02.11.00,Rev 1,SP136573,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136573.exe
HP ProDesk 600 G5 Microtower PC,BIOS,02.11.00,Rev 1,SP136500,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136500.exe
HP ProDesk 600 G5 Microtower PC (with PCI slot),BIOS,02.11.00,Rev 1,SP136500,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136500.exe
HP ProDesk 600 G5 Small Form Factor PC,BIOS,02.11.00,Rev 1,SP136514,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136514.exe
HP ProDesk 680 G3 Microtower PC,BIOS,2.4,Rev 1,SP139853,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139853.exe
HP ProDesk 680 G4 Microtower PC,BIOS,02.17.00,Rev 1,SP136496,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136496.exe
HP ProDesk 680 G4 Microtower PC (With PCI slot),BIOS,02.17.00,Rev 1,SP136498,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136498.exe
HP ProOne 400 G3 20-inch Non-Touch All-in-One PC,BIOS,Pending,Rev 1,Pending,Pending
HP ProOne 400 G3 20-inch Touch All-in-One PC,BIOS,Pending,Rev 1,Pending,Pending
HP ProOne 400 G4 20-inch Non-Touch All-in-One Business PC,BIOS,02.17.00,Rev 1,SP136516,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136516.exe
HP ProOne 400 G4 23.8-inch Non-Touch All-in-One Business PC,BIOS,02.17.00,Rev 1,SP136516,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136516.exe
HP ProOne 400 G5 20-inch All-in-One Business PC,BIOS,02.11.01,Rev 1,SP136660,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136660.exe
HP ProOne 400 G5 23.8-inch All-in-One Business PC,BIOS,02.11.01,Rev 1,SP136660,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136660.exe
HP ProOne 440 G4 23.8-inch Non-Touch All-in-One Business PC,BIOS,02.17.00,Rev 1,SP136516,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136516.exe
HP ProOne 440 G5 23.8-in All-in-One Business PC,BIOS,02.11.01,Rev 1,SP136660,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136660.exe
HP ProOne 480 G3 20-inch Non-Touch All-in One PC,BIOS,Pending,Rev 1,Pending,Pending
HP ProOne 600 G3 21.5-inch Non-Touch All-in-One PC,BIOS,Pending,Rev 1,Pending,Pending
HP ProOne 600 G4 21.5-inch Touch All-in-One Business PC,BIOS,02.17.00,Rev 1,SP136516,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136516.exe
HP ProOne 600 G5 21.5-in All-in-One Business PC,BIOS,02.11.01,Rev 1,SP136660,https://ftp.hp.com/pub/softpaq/sp136501-137000/sp136660.exe
HP Z1 All-in-One G3 Workstation,"BIOS (Win 10, Win 7)",1.31,Rev 1,SP139297,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139297.exe
HP Z1 All-in-One G3 Workstation,BIOS (Linux),1.31,Rev 1,SP139296,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139296.tgz
HP Z1 Entry Tower G5,BIOS,02.11.00,Rev 1,SP136499,https://ftp.hp.com/pub/softpaq/sp136001-136500/sp136499.exe
HP Z2 Mini G3 Workstation,"BIOS (Win 10, Win 7)",1.83,Rev 1,SP139300,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139300.exe
HP Z2 Mini G3 Workstation,BIOS (Linux),1.83,Rev 1,SP139298,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139298.tgz
HP Z2 Mini G4 Workstation,"BIOS (Win 10, Win 7)",01.08.01,Rev 1,SP139134,https://ftp.hp.com/pub/softpaq/sp139001-139500/sp139134.exe
